id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
20035,"Ajmer P Projects India","Ajmer","Rajasthan","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700100198,purchase@ajmerpprojectsibuild.in,51250,"Verified RERA Active"
20036,"Rohtak Q Buildtech India Pvt Ltd","Rohtak","Haryana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100203,purchase@rohtakqbuildtecbuild.in,52000,"Verified RERA Active"
20037,"Mohali R Civil Engineering Developers","Mohali","Punjab","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700100208,purchase@mohalircivilengbuild.in,52750,"Verified RERA Active"
20038,"Rudrapur S Living Spaces LLP","Rudrapur","Uttarakhand","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100213,purchase@rudrapurslivingbuild.in,53500,"Verified RERA Active"
20039,"Kullu T Projects India","Kullu","Himachal Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100218,purchase@kullutprojectsibuild.in,54250,"Verified RERA Active"
20040,"Srinagar U Buildtech India Pvt Ltd","Srinagar","Jammu & Kashmir","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700100223,purchase@srinagarubuildtbuild.in,55000,"Verified RERA Active"
20041,"Pune V Buildtech India Pvt Ltd","Pune","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700100228,purchase@punevbuildtechibuild.in,55750,"Verified RERA Active"
20042,"Ankleshwar W Civil Engineering Developers","Ankleshwar","Gujarat","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700100233,purchase@ankleshwarwcivibuild.in,56500,"Verified RERA Active"
20043,"Indore X Living Spaces LLP","Indore","Madhya Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700100238,purchase@indorexlivingspbuild.in,57250,"Verified RERA Active"
20044,"Durg Y Projects India","Durg","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100243,purchase@durgyprojectsinbuild.in,58000,"Verified RERA Active"
20045,"Panaji Z Buildtech India Pvt Ltd","Panaji","Goa","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700100248,purchase@panajizbuildtecbuild.in,58750,"Verified RERA Active"
20046,"Davanagere A Civil Engineering Developers","Davanagere","Karnataka","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700100253,purchase@davanagereacivibuild.in,59500,"Verified RERA Active"
20047,"Vellore B Living Spaces LLP","Vellore","Tamil Nadu","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700100258,purchase@velloreblivingsbuild.in,60250,"Verified RERA Active"
20048,"Nizamabad C Projects India","Nizamabad","Telangana","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100263,purchase@nizamabadcprojebuild.in,61000,"Verified RERA Active"
20049,"Vijayawada D Buildtech India Pvt Ltd","Vijayawada","Andhra Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700100268,purchase@vijayawadadbuilbuild.in,61750,"Verified RERA Active"
20050,"Kozhikode E Civil Engineering Developers","Kozhikode","Kerala","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700100273,purchase@kozhikodeecivilbuild.in,62500,"Verified RERA Active"
20051,"Siliguri F Civil Engineering Developers","Siliguri","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700100278,purchase@siligurifcivilebuild.in,63250,"Verified RERA Active"
20052,"Purnia G Living Spaces LLP","Purnia","Bihar","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700100283,purchase@purniaglivingspbuild.in,64000,"Verified RERA Active"
20053,"Puri H Projects India","Puri","Odisha","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100288,purchase@purihprojectsinbuild.in,64750,"Verified RERA Active"
20054,"Dhanbad I Buildtech India Pvt Ltd","Dhanbad","Jharkhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100293,purchase@dhanbadibuildtebuild.in,65500,"Verified RERA Active"
20055,"Jorhat J Civil Engineering Developers","Jorhat","Assam & NE","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700100298,purchase@jorhatjcivilengbuild.in,66250,"Verified RERA Active"
20056,"New K Living Spaces LLP","New Delhi","Delhi NCR","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100303,purchase@newklivingspacebuild.in,67000,"Verified RERA Active"
20057,"Prayagraj L Projects India","Prayagraj","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700100308,purchase@prayagrajlprojebuild.in,67750,"Verified RERA Active"
20058,"Udaipur M Buildtech India Pvt Ltd","Udaipur","Rajasthan","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700100313,purchase@udaipurmbuildtebuild.in,68500,"Verified RERA Active"
20059,"Hisar N Civil Engineering Developers","Hisar","Haryana","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100318,purchase@hisarncivilengibuild.in,69250,"Verified RERA Active"
20060,"Bathinda O Living Spaces LLP","Bathinda","Punjab","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700100323,purchase@bathindaolivingbuild.in,70000,"Verified RERA Active"
20061,"Haldwani P Living Spaces LLP","Haldwani","Uttarakhand","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700100328,purchase@haldwaniplivingbuild.in,70750,"Verified RERA Active"
20062,"Baddi Q Projects India","Baddi Industrial Zone","Himachal Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700100333,purchase@baddiqprojectsibuild.in,71500,"Verified RERA Active"
20063,"Udhampur R Buildtech India Pvt Ltd","Udhampur","Jammu & Kashmir","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100338,purchase@udhampurrbuildtbuild.in,72250,"Verified RERA Active"
20064,"Nashik S Civil Engineering Developers","Nashik","Maharashtra","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700100343,purchase@nashikscivilengbuild.in,73000,"Verified RERA Active"
20065,"Bhavnagar T Living Spaces LLP","Bhavnagar","Gujarat","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700100348,purchase@bhavnagartlivinbuild.in,73750,"Verified RERA Active"
20066,"Sagar U Projects India","Sagar","Madhya Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100353,purchase@sagaruprojectsibuild.in,74500,"Verified RERA Active"
20067,"Korba V Buildtech India Pvt Ltd","Korba","Chhattisgarh","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700100358,purchase@korbavbuildtechbuild.in,75250,"Verified RERA Active"
20068,"Mapusa W Civil Engineering Developers","Mapusa","Goa","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100363,purchase@mapusawcivilengbuild.in,76000,"Verified RERA Active"
20069,"Kalaburagi X Living Spaces LLP","Kalaburagi","Karnataka","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100368,purchase@kalaburagixlivibuild.in,76750,"Verified RERA Active"
20070,"Erode Y Projects India","Erode","Tamil Nadu","Multi-Story Residential Towers","State Tier-1 Developer","Chief Procurement Officer",+919700100373,purchase@erodeyprojectsibuild.in,77500,"Verified RERA Active"
20071,"Warangal Z Projects India","Warangal","Telangana","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700100378,purchase@warangalzprojecbuild.in,78250,"Verified RERA Active"
20072,"Visakhapatnam A Buildtech India Pvt Ltd","Visakhapatnam","Andhra Pradesh","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700100383,purchase@visakhapatnamabbuild.in,79000,"Verified RERA Active"
20073,"Kochi B Civil Engineering Developers","Kochi","Kerala","Gated Integrated Townships & Villas","State Tier-1 Developer","Director - Materials & Finishes",+919700100388,purchase@kochibcivilengibuild.in,79750,"Verified RERA Active"
20074,"Asansol C Living Spaces LLP","Asansol","West Bengal","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100393,purchase@asansolclivingsbuild.in,80500,"Verified RERA Active"
20075,"Muzaffarpur D Projects India","Muzaffarpur","Bihar","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700100398,purchase@muzaffarpurdprobuild.in,81250,"Verified RERA Active"
20076,"Bhubaneswar E Buildtech India Pvt Ltd","Bhubaneswar","Odisha","Commercial Malls & IT Parks","State Tier-1 Developer","Head of Civil Purchase",+919700100403,purchase@bhubaneswarebuibuild.in,82000,"Verified RERA Active"
20077,"Jamshedpur F Civil Engineering Developers","Jamshedpur","Jharkhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700100408,purchase@jamshedpurfcivibuild.in,82750,"Verified RERA Active"
20078,"Aizawl G Living Spaces LLP","Aizawl","Assam & NE","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100413,purchase@aizawlglivingspbuild.in,83500,"Verified RERA Active"
20079,"Ghaziabad H Projects India","Ghaziabad","Delhi NCR","Gated Integrated Townships & Villas","State Tier-1 Developer","Senior General Manager - Procurement",+919700100418,purchase@ghaziabadhprojebuild.in,84250,"Verified RERA Active"
20080,"Meerut I Buildtech India Pvt Ltd","Meerut","Uttar Pradesh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700100423,purchase@meerutibuildtecbuild.in,85000,"Verified RERA Active"
20081,"Bhilwara J Buildtech India Pvt Ltd","Bhilwara","Rajasthan","Multi-Story Residential Towers","Regional Infrastructure Builder","Head of Civil Purchase",+919700100428,purchase@bhilwarajbuildtbuild.in,85750,"Verified RERA Active"
20082,"Karnal K Civil Engineering Developers","Karnal","Haryana","Commercial Malls & IT Parks","State Tier-1 Developer","Vice President - Contracts",+919700100433,purchase@karnalkcivilengbuild.in,86500,"Verified RERA Active"
20083,"Patiala L Living Spaces LLP","Patiala","Punjab","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100438,purchase@patialallivingsbuild.in,87250,"Verified RERA Active"
20084,"Roorkee M Projects India","Roorkee","Uttarakhand","Multi-Story Residential Towers","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100443,purchase@roorkeemprojectbuild.in,88000,"Verified RERA Active"
20085,"Mandi N Buildtech India Pvt Ltd","Mandi","Himachal Pradesh","Gated Integrated Townships & Villas","State Tier-1 Developer","Chief Procurement Officer",+919700100448,purchase@mandinbuildtechbuild.in,88750,"Verified RERA Active"
20086,"Kathua O Civil Engineering Developers","Kathua","Jammu & Kashmir","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100453,purchase@kathuaocivilengbuild.in,89500,"Verified RERA Active"
20087,"Kolhapur P Living Spaces LLP","Kolhapur","Maharashtra","Multi-Story Residential Towers","Regional Infrastructure Builder","Vice President - Contracts",+919700100458,purchase@kolhapurplivingbuild.in,90250,"Verified RERA Active"
20088,"Ahmedabad Q Projects India","Ahmedabad","Gujarat","Commercial Malls & IT Parks","State Tier-1 Developer","Director - Materials & Finishes",+919700100463,purchase@ahmedabadqprojebuild.in,91000,"Verified RERA Active"
20089,"Bhopal R Buildtech India Pvt Ltd","Bhopal","Madhya Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Senior General Manager - Procurement",+919700100468,purchase@bhopalrbuildtecbuild.in,91750,"Verified RERA Active"
20090,"Bilaspur S Civil Engineering Developers","Bilaspur","Chhattisgarh","Multi-Story Residential Towers","Regional Infrastructure Builder","Chief Procurement Officer",+919700100473,purchase@bilaspurscivilebuild.in,92500,"Verified RERA Active"
20091,"Margao T Civil Engineering Developers","Margao","Goa","Multi-Story Residential Towers","State Tier-1 Developer","Head of Civil Purchase",+919700100478,purchase@margaotcivilengbuild.in,93250,"Verified RERA Active"
20092,"Belagavi U Living Spaces LLP","Belagavi","Karnataka","Commercial Malls & IT Parks","Regional Infrastructure Builder","Vice President - Contracts",+919700100483,purchase@belagaviulivingbuild.in,94000,"Verified RERA Active"
20093,"Tiruppur V Projects India","Tiruppur","Tamil Nadu","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100488,purchase@tiruppurvprojecbuild.in,94750,"Verified RERA Active"
20094,"Hyderabad W Buildtech India Pvt Ltd","Hyderabad","Telangana","Multi-Story Residential Towers","State Tier-1 Developer","Senior General Manager - Procurement",+919700100493,purchase@hyderabadwbuildbuild.in,95500,"Verified RERA Active"
20095,"Kakinada X Civil Engineering Developers","Kakinada","Andhra Pradesh","Gated Integrated Townships & Villas","Regional Infrastructure Builder","Chief Procurement Officer",+919700100498,purchase@kakinadaxcivilebuild.in,96250,"Verified RERA Active"
20096,"Thiruvananthapuram Y Living Spaces LLP","Thiruvananthapuram","Kerala","Commercial Malls & IT Parks","Regional Infrastructure Builder","Head of Civil Purchase",+919700100503,purchase@thiruvananthapubuild.in,97000,"Verified RERA Active"
20097,"Howrah Z Projects India","Howrah","West Bengal","Multi-Story Residential Towers","State Tier-1 Developer","Vice President - Contracts",+919700100508,purchase@howrahzprojectsbuild.in,97750,"Verified RERA Active"
20098,"Bhagalpur A Buildtech India Pvt Ltd","Bhagalpur","Bihar","Commercial Malls & IT Parks","Regional Infrastructure Builder","Director - Materials & Finishes",+919700100513,purchase@bhagalpurabuildbuild.in,98500,"Verified RERA Active"
