id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
665,"Jaipur P Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014655,procurement@jaipurbuild665.in,77750
666,"Jodhpur Q Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829014662,procurement@jodhpurbuild666.in,78100
667,"Udaipur R Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014669,procurement@udaipurbuild667.in,78450
668,"Kota S Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829014676,procurement@kotabuild668.in,78800
669,"Alwar T Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014683,procurement@alwarbuild669.in,79150
670,"Ajmer U Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829014690,procurement@ajmerbuild670.in,79500
671,"Bhilwara V Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014697,procurement@bhilwarabuild671.in,79850
672,"Jaipur W Constructions & Developers",Jaipur,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829014704,procurement@jaipurbuild672.in,80200
673,"Jodhpur X Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014711,procurement@jodhpurbuild673.in,80550
674,"Udaipur Y Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829014718,procurement@udaipurbuild674.in,80900
675,"Kota Z Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829014725,procurement@kotabuild675.in,81250
676,"Alwar A Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829014732,procurement@alwarbuild676.in,81600
677,"Ajmer B Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014739,procurement@ajmerbuild677.in,81950
678,"Bhilwara C Constructions & Developers",Bhilwara,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829014746,procurement@bhilwarabuild678.in,82300
679,"Jaipur D Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014753,procurement@jaipurbuild679.in,82650
680,"Jodhpur E Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829014760,procurement@jodhpurbuild680.in,83000
681,"Udaipur F Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829014767,procurement@udaipurbuild681.in,83350
682,"Kota G Realty & Infratech",Kota,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829014774,procurement@kotabuild682.in,83700
683,"Alwar H Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014781,procurement@alwarbuild683.in,84050
684,"Ajmer I Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829014788,procurement@ajmerbuild684.in,84400
685,"Bhilwara J Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014795,procurement@bhilwarabuild685.in,84750
686,"Jaipur K Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829014802,procurement@jaipurbuild686.in,85100
687,"Jodhpur L Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829014809,procurement@jodhpurbuild687.in,85450
688,"Udaipur M Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829014816,procurement@udaipurbuild688.in,85800
689,"Kota N Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014823,procurement@kotabuild689.in,86150
690,"Alwar O Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829014830,procurement@alwarbuild690.in,86500
691,"Ajmer P Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014837,procurement@ajmerbuild691.in,86850
692,"Bhilwara Q Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829014844,procurement@bhilwarabuild692.in,87200
693,"Jaipur R Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829014851,procurement@jaipurbuild693.in,87550
694,"Jodhpur S Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829014858,procurement@jodhpurbuild694.in,87900
695,"Udaipur T Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829014865,procurement@udaipurbuild695.in,88250
696,"Kota U Constructions & Developers",Kota,"Commercial & Plazas","Tier 1 Contractor","Head of Civil Purchase",+919829014872,procurement@kotabuild696.in,88600
697,"Alwar V Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014879,procurement@alwarbuild697.in,88950
698,"Ajmer W Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829014886,procurement@ajmerbuild698.in,89300
699,"Bhilwara X Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014893,procurement@bhilwarabuild699.in,89650
700,"Jaipur Y Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829014900,procurement@jaipurbuild700.in,90000
701,"Jodhpur Z Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829014907,procurement@jodhpurbuild701.in,90350
702,"Udaipur A Constructions & Developers",Udaipur,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829014914,procurement@udaipurbuild702.in,90700
703,"Kota B Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014921,procurement@kotabuild703.in,91050
704,"Alwar C Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829014928,procurement@alwarbuild704.in,91400
705,"Ajmer D Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829014935,procurement@ajmerbuild705.in,91750
706,"Bhilwara E Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829014942,procurement@bhilwarabuild706.in,92100
707,"Jaipur F Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829014949,procurement@jaipurbuild707.in,92450
708,"Jodhpur G Constructions & Developers",Jodhpur,"Commercial & Plazas","Tier 1 Contractor","Contracts & Tenders Head",+919829014956,procurement@jodhpurbuild708.in,92800
709,"Udaipur H Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829014963,procurement@udaipurbuild709.in,93150
710,"Kota I Infraprojects & Housing",Kota,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829014970,procurement@kotabuild710.in,93500
711,"Alwar J Civil Engineering Contractors",Alwar & Bhiwadi,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829014977,procurement@alwarbuild711.in,93850
712,"Ajmer K Realty & Infratech",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Project Director - Finishes",+919829014984,procurement@ajmerbuild712.in,94200
713,"Bhilwara L Living Spaces LLP",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829014991,procurement@bhilwarabuild713.in,94550
714,"Jaipur M Constructions & Developers",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829014998,procurement@jaipurbuild714.in,94900
715,"Jodhpur N Buildtech India Pvt Ltd",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015005,procurement@jodhpurbuild715.in,95250
716,"Udaipur O Infraprojects & Housing",Udaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829015012,procurement@udaipurbuild716.in,95600
717,"Kota P Civil Engineering Contractors",Kota,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829015019,procurement@kotabuild717.in,95950
718,"Alwar Q Realty & Infratech",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Contracts & Tenders Head",+919829015026,procurement@alwarbuild718.in,96300
719,"Ajmer R Living Spaces LLP",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015033,procurement@ajmerbuild719.in,96650
720,"Bhilwara S Constructions & Developers",Bhilwara,"Commercial & Plazas","Tier 1 Contractor","Chief Procurement Officer",+919829015040,procurement@bhilwarabuild720.in,97000
721,"Jaipur T Buildtech India Pvt Ltd",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015047,procurement@jaipurbuild721.in,97350
722,"Jodhpur U Infraprojects & Housing",Jodhpur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829015054,procurement@jodhpurbuild722.in,97700
723,"Udaipur V Civil Engineering Contractors",Udaipur,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829015061,procurement@udaipurbuild723.in,98050
724,"Kota W Realty & Infratech",Kota,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Materials Manager",+919829015068,procurement@kotabuild724.in,98400
725,"Alwar X Living Spaces LLP",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015075,procurement@alwarbuild725.in,98750
726,"Ajmer Y Constructions & Developers",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829015082,procurement@ajmerbuild726.in,99100
727,"Bhilwara Z Buildtech India Pvt Ltd",Bhilwara,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015089,procurement@bhilwarabuild727.in,99450
728,"Jaipur A Infraprojects & Housing",Jaipur,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829015096,procurement@jaipurbuild728.in,99800
729,"Jodhpur B Civil Engineering Contractors",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Materials Manager",+919829015103,procurement@jodhpurbuild729.in,15150
730,"Udaipur C Realty & Infratech",Udaipur,"Multi-Story Residential Towers","Regional Project Builder","Chief Procurement Officer",+919829015110,procurement@udaipurbuild730.in,15500
731,"Kota D Living Spaces LLP",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015117,procurement@kotabuild731.in,15850
732,"Alwar E Constructions & Developers",Alwar & Bhiwadi,"Commercial & Plazas","Tier 1 Contractor","Project Director - Finishes",+919829015124,procurement@alwarbuild732.in,16200
733,"Ajmer F Buildtech India Pvt Ltd",Ajmer & Kishangarh,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015131,procurement@ajmerbuild733.in,16550
734,"Bhilwara G Infraprojects & Housing",Bhilwara,"Multi-Story Residential Towers","Regional Project Builder","Chief Materials Manager",+919829015138,procurement@bhilwarabuild734.in,16900
735,"Jaipur H Civil Engineering Contractors",Jaipur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829015145,procurement@jaipurbuild735.in,17250
736,"Jodhpur I Realty & Infratech",Jodhpur,"Multi-Story Residential Towers","Tier 1 Contractor","Head of Civil Purchase",+919829015152,procurement@jodhpurbuild736.in,17600
737,"Udaipur J Living Spaces LLP",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Project Director - Finishes",+919829015159,procurement@udaipurbuild737.in,17950
738,"Kota K Constructions & Developers",Kota,"Commercial & Plazas","Regional Project Builder","Contracts & Tenders Head",+919829015166,procurement@kotabuild738.in,18300
739,"Alwar L Buildtech India Pvt Ltd",Alwar & Bhiwadi,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015173,procurement@alwarbuild739.in,18650
740,"Ajmer M Infraprojects & Housing",Ajmer & Kishangarh,"Multi-Story Residential Towers","Tier 1 Contractor","Chief Procurement Officer",+919829015180,procurement@ajmerbuild740.in,19000
741,"Bhilwara N Civil Engineering Contractors",Bhilwara,"Commercial & Plazas","Regional Project Builder","Head of Civil Purchase",+919829015187,procurement@bhilwarabuild741.in,19350
742,"Jaipur O Realty & Infratech",Jaipur,"Multi-Story Residential Towers","Regional Project Builder","Project Director - Finishes",+919829015194,procurement@jaipurbuild742.in,19700
743,"Jodhpur P Living Spaces LLP",Jodhpur,"Plotted Gated Townships & Villas","Regional Project Builder","Contracts & Tenders Head",+919829015201,procurement@jodhpurbuild743.in,20050
744,"Udaipur Q Constructions & Developers",Udaipur,"Commercial & Plazas","Tier 1 Contractor","Chief Materials Manager",+919829015208,procurement@udaipurbuild744.in,20400
745,"Kota R Buildtech India Pvt Ltd",Kota,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Procurement Officer",+919829015215,procurement@kotabuild745.in,20750
746,"Alwar S Infraprojects & Housing",Alwar & Bhiwadi,"Multi-Story Residential Towers","Regional Project Builder","Head of Civil Purchase",+919829015222,procurement@alwarbuild746.in,21100
747,"Ajmer T Civil Engineering Contractors",Ajmer & Kishangarh,"Commercial & Plazas","Regional Project Builder","Project Director - Finishes",+919829015229,procurement@ajmerbuild747.in,21450
748,"Bhilwara U Realty & Infratech",Bhilwara,"Multi-Story Residential Towers","Tier 1 Contractor","Contracts & Tenders Head",+919829015236,procurement@bhilwarabuild748.in,21800
749,"Jaipur V Living Spaces LLP",Jaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Chief Materials Manager",+919829015243,procurement@jaipurbuild749.in,22150
750,"Jodhpur W Constructions & Developers",Jodhpur,"Commercial & Plazas","Regional Project Builder","Chief Procurement Officer",+919829015250,procurement@jodhpurbuild750.in,22500
751,"Udaipur X Buildtech India Pvt Ltd",Udaipur,"Plotted Gated Townships & Villas","Regional Project Builder","Head of Civil Purchase",+919829015257,procurement@udaipurbuild751.in,22850
