id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
1279,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011279,Sikar,"Salasar Bus Stand Market","Plot 39, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Texture & Putty Specialist,253
1280,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011280,Jhunjhunu,"Gugali Market","Plot 40, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,260
1281,"MIA Industrial Area Maruti Paints & Coating Traders",Dinesh Meena,+919414011281,Alwar,"MIA Industrial Area","Plot 41, Main Market, MIA Industrial Area, Alwar, Rajasthan",Hardware & Sanitary,267
1282,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011282,Ajmer,"Parbatpura Industrial Area","Plot 42, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,274
1283,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011283,Kota,"DCM Road","Plot 43, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,281
1284,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011284,Jaipur,"Vaishali Nagar","Plot 44, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,288
1285,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011285,Sikar,"Kotwali Market","Plot 45, Main Market, Kotwali Market, Sikar, Rajasthan",Paint Retailer,295
1286,"Mittal Balaji Color World",Ashok Mittal,+919414011286,Jhunjhunu,"Mandawa Road","Plot 46, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,302
1287,"Bhiwadi Alwar Bypass Vijay Paint & Plywood Stores",Kamal Verma,+919414011287,Alwar,"Bhiwadi Alwar Bypass","Plot 47, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Building Material Stockist,309
1288,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011288,Ajmer,"Parbatpura Industrial Area","Plot 48, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,316
1289,"Gopal National Hardware & Paints",Gopal Sharma,+919414011289,Kota,"DCM Road","Plot 49, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,323
1290,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011290,Jaipur,"Mansarovar","Plot 50, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,330
1291,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011291,Sikar,"Piprali Road","Plot 51, Main Market, Piprali Road, Sikar, Rajasthan",Hardware & Sanitary,337
1292,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011292,Jhunjhunu,"Road No 1","Plot 52, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,344
1293,"Neemrana Industrial Zone Hardware & Building Materials",Mukesh Gupta,+919414011293,Alwar,"Neemrana Industrial Zone","Plot 53, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Exclusive Coating Dealer,351
1294,"Yadav Krishna Paint House",Ramesh Yadav,+919414011294,Ajmer,"Parbatpura Industrial Area","Plot 54, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,358
1295,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011295,Kota,"DCM Road","Plot 55, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,365
1296,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011296,Jaipur,"Malviya Nagar","Plot 56, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,372
1297,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011297,Sikar,"Fatehpur Road","Plot 57, Main Market, Fatehpur Road, Sikar, Rajasthan",Building Material Stockist,379
1298,"Jain Laxmi Paint Center",Pankaj Jain,+919414011298,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 58, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,386
1299,"Delhi Gate Royal Paints & Texture Mart",Vinod Prajapat,+919414011299,Alwar,"Delhi Gate","Plot 59, Main Market, Delhi Gate, Alwar, Rajasthan",Texture & Putty Specialist,393
1300,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011300,Ajmer,"Parbatpura Industrial Area","Plot 60, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,50
1301,"Ashok Balaji Color World",Ashok Mittal,+919414011301,Kota,"DCM Road","Plot 61, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,57
1302,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011302,Jaipur,"Sanganer Market","Plot 62, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,64
1303,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011303,Sikar,"Bajoria Road","Plot 63, Main Market, Bajoria Road, Sikar, Rajasthan",Exclusive Coating Dealer,71
1304,"Sharma National Hardware & Paints",Gopal Sharma,+919414011304,Jhunjhunu,"Peeru Singh Circle","Plot 64, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,78
1305,"Hope Circus Paint & Hardware Store",Rajesh Sharma,+919414011305,Alwar,"Hope Circus","Plot 65, Main Market, Hope Circus, Alwar, Rajasthan",Paint Retailer,85
1306,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011306,Ajmer,"Parbatpura Industrial Area","Plot 66, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,92
1307,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011307,Kota,"DCM Road","Plot 67, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,99
1308,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011308,Jaipur,"Tonk Road","Plot 68, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,106
1309,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011309,Sikar,"Station Road","Plot 69, Main Market, Station Road, Sikar, Rajasthan",Texture & Putty Specialist,113
1310,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011310,Jhunjhunu,"Gugali Market","Plot 70, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,120
1311,"Company Bagh Road Maruti Paints & Coating Traders",Dinesh Meena,+919414011311,Alwar,"Company Bagh Road","Plot 71, Main Market, Company Bagh Road, Alwar, Rajasthan",Hardware & Sanitary,127
1312,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011312,Ajmer,"Parbatpura Industrial Area","Plot 72, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,134
1313,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011313,Kota,"DCM Road","Plot 73, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,141
1314,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011314,Jaipur,"Vaishali Nagar","Plot 74, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,148
1315,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011315,Sikar,"Nawalgarh Road","Plot 75, Main Market, Nawalgarh Road, Sikar, Rajasthan",Paint Retailer,155
1316,"Mittal Balaji Color World",Ashok Mittal,+919414011316,Jhunjhunu,"Mandawa Road","Plot 76, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,162
1317,"Manu Marg Vijay Paint & Plywood Stores",Kamal Verma,+919414011317,Alwar,"Manu Marg","Plot 77, Main Market, Manu Marg, Alwar, Rajasthan",Building Material Stockist,169
1318,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011318,Ajmer,"Parbatpura Industrial Area","Plot 78, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,176
1319,"Gopal National Hardware & Paints",Gopal Sharma,+919414011319,Kota,"DCM Road","Plot 79, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,183
1320,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011320,Jaipur,"Mansarovar","Plot 80, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,190
1321,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011321,Sikar,"Salasar Bus Stand Market","Plot 81, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Hardware & Sanitary,197
1322,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011322,Jhunjhunu,"Road No 1","Plot 82, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,204
1323,"MIA Industrial Area Hardware & Building Materials",Mukesh Gupta,+919414011323,Alwar,"MIA Industrial Area","Plot 83, Main Market, MIA Industrial Area, Alwar, Rajasthan",Exclusive Coating Dealer,211
1324,"Yadav Krishna Paint House",Ramesh Yadav,+919414011324,Ajmer,"Parbatpura Industrial Area","Plot 84, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,218
1325,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011325,Kota,"DCM Road","Plot 85, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,225
1326,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011326,Jaipur,"Malviya Nagar","Plot 86, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,232
1327,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011327,Sikar,"Kotwali Market","Plot 87, Main Market, Kotwali Market, Sikar, Rajasthan",Building Material Stockist,239
1328,"Jain Laxmi Paint Center",Pankaj Jain,+919414011328,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 88, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,246
1329,"Bhiwadi Alwar Bypass Royal Paints & Texture Mart",Vinod Prajapat,+919414011329,Alwar,"Bhiwadi Alwar Bypass","Plot 89, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Texture & Putty Specialist,253
1330,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011330,Ajmer,"Parbatpura Industrial Area","Plot 90, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,260
1331,"Ashok Balaji Color World",Ashok Mittal,+919414011331,Kota,"DCM Road","Plot 91, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,267
1332,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011332,Jaipur,"Sanganer Market","Plot 92, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,274
1333,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011333,Sikar,"Piprali Road","Plot 93, Main Market, Piprali Road, Sikar, Rajasthan",Exclusive Coating Dealer,281
1334,"Sharma National Hardware & Paints",Gopal Sharma,+919414011334,Jhunjhunu,"Peeru Singh Circle","Plot 94, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,288
1335,"Neemrana Industrial Zone Paint & Hardware Store",Rajesh Sharma,+919414011335,Alwar,"Neemrana Industrial Zone","Plot 95, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Paint Retailer,295
1336,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011336,Ajmer,"Parbatpura Industrial Area","Plot 96, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,302
1337,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011337,Kota,"DCM Road","Plot 97, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,309
1338,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011338,Jaipur,"Tonk Road","Plot 98, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,316
1339,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011339,Sikar,"Fatehpur Road","Plot 99, Main Market, Fatehpur Road, Sikar, Rajasthan",Texture & Putty Specialist,323
1340,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011340,Jhunjhunu,"Gugali Market","Plot 100, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,330
1341,"Delhi Gate Maruti Paints & Coating Traders",Dinesh Meena,+919414011341,Alwar,"Delhi Gate","Plot 101, Main Market, Delhi Gate, Alwar, Rajasthan",Hardware & Sanitary,337
1342,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011342,Ajmer,"Parbatpura Industrial Area","Plot 102, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,344
1343,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011343,Kota,"DCM Road","Plot 103, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,351
1344,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011344,Jaipur,"Vaishali Nagar","Plot 104, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,358
1345,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011345,Sikar,"Bajoria Road","Plot 105, Main Market, Bajoria Road, Sikar, Rajasthan",Paint Retailer,365
1346,"Mittal Balaji Color World",Ashok Mittal,+919414011346,Jhunjhunu,"Mandawa Road","Plot 106, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,372
1347,"Hope Circus Vijay Paint & Plywood Stores",Kamal Verma,+919414011347,Alwar,"Hope Circus","Plot 107, Main Market, Hope Circus, Alwar, Rajasthan",Building Material Stockist,379
1348,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011348,Ajmer,"Parbatpura Industrial Area","Plot 108, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,386
1349,"Gopal National Hardware & Paints",Gopal Sharma,+919414011349,Kota,"DCM Road","Plot 109, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,393
1350,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011350,Jaipur,"Mansarovar","Plot 110, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,50
1351,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011351,Sikar,"Station Road","Plot 111, Main Market, Station Road, Sikar, Rajasthan",Hardware & Sanitary,57
1352,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011352,Jhunjhunu,"Road No 1","Plot 112, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,64
1353,"Company Bagh Road Hardware & Building Materials",Mukesh Gupta,+919414011353,Alwar,"Company Bagh Road","Plot 113, Main Market, Company Bagh Road, Alwar, Rajasthan",Exclusive Coating Dealer,71
1354,"Yadav Krishna Paint House",Ramesh Yadav,+919414011354,Ajmer,"Parbatpura Industrial Area","Plot 114, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,78
1355,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011355,Kota,"DCM Road","Plot 115, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,85
1356,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011356,Jaipur,"Malviya Nagar","Plot 116, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,92
1357,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011357,Sikar,"Nawalgarh Road","Plot 117, Main Market, Nawalgarh Road, Sikar, Rajasthan",Building Material Stockist,99
1358,"Jain Laxmi Paint Center",Pankaj Jain,+919414011358,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 118, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,106
1359,"Manu Marg Royal Paints & Texture Mart",Vinod Prajapat,+919414011359,Alwar,"Manu Marg","Plot 119, Main Market, Manu Marg, Alwar, Rajasthan",Texture & Putty Specialist,113
1360,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414011360,Ajmer,"Parbatpura Industrial Area","Plot 120, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,120
1361,"Ashok Balaji Color World",Ashok Mittal,+919414011361,Kota,"DCM Road","Plot 121, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,127
1362,"Sanganer Market Vijay Paint & Plywood Stores",Kamal Verma,+919414011362,Jaipur,"Sanganer Market","Plot 122, Main Market, Sanganer Market, Jaipur, Rajasthan",Building Material Stockist,134
1363,"Pradeep Modern Paint & Tools Depot",Pradeep Choudhary,+919414011363,Sikar,"Salasar Bus Stand Market","Plot 123, Main Market, Salasar Bus Stand Market, Sikar, Rajasthan",Exclusive Coating Dealer,141
1364,"Sharma National Hardware & Paints",Gopal Sharma,+919414011364,Jhunjhunu,"Peeru Singh Circle","Plot 124, Main Market, Peeru Singh Circle, Jhunjhunu, Rajasthan",Texture & Putty Specialist,148
1365,"MIA Industrial Area Paint & Hardware Store",Rajesh Sharma,+919414011365,Alwar,"MIA Industrial Area","Plot 125, Main Market, MIA Industrial Area, Alwar, Rajasthan",Paint Retailer,155
1366,"Agarwal Paints & Sanitary Mart",Sanjay Agarwal,+919414011366,Ajmer,"Parbatpura Industrial Area","Plot 126, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Hardware & Sanitary,162
1367,"Sunil Rangoli Colors & Paint Agency",Sunil Saini,+919414011367,Kota,"DCM Road","Plot 127, Main Market, DCM Road, Kota, Rajasthan",Building Material Stockist,169
1368,"Tonk Road Hardware & Building Materials",Mukesh Gupta,+919414011368,Jaipur,"Tonk Road","Plot 128, Main Market, Tonk Road, Jaipur, Rajasthan",Exclusive Coating Dealer,176
1369,"Ramesh Krishna Paint House",Ramesh Yadav,+919414011369,Sikar,"Kotwali Market","Plot 129, Main Market, Kotwali Market, Sikar, Rajasthan",Texture & Putty Specialist,183
1370,"Khandelwal Shree Ram Hardware & Paints",Anil Khandelwal,+919414011370,Jhunjhunu,"Gugali Market","Plot 130, Main Market, Gugali Market, Jhunjhunu, Rajasthan",Paint Retailer,190
1371,"Bhiwadi Alwar Bypass Maruti Paints & Coating Traders",Dinesh Meena,+919414011371,Alwar,"Bhiwadi Alwar Bypass","Plot 131, Main Market, Bhiwadi Alwar Bypass, Alwar, Rajasthan",Hardware & Sanitary,197
1372,"Singh Bajrang Hardware Stores",Virendra Singh,+919414011372,Ajmer,"Parbatpura Industrial Area","Plot 132, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Building Material Stockist,204
1373,"Pankaj Laxmi Paint Center",Pankaj Jain,+919414011373,Kota,"DCM Road","Plot 133, Main Market, DCM Road, Kota, Rajasthan",Exclusive Coating Dealer,211
1374,"Vaishali Nagar Royal Paints & Texture Mart",Vinod Prajapat,+919414011374,Jaipur,"Vaishali Nagar","Plot 134, Main Market, Vaishali Nagar, Jaipur, Rajasthan",Texture & Putty Specialist,218
1375,"Mahesh Ganesh Hardware & Paints",Mahesh Jangid,+919414011375,Sikar,"Piprali Road","Plot 135, Main Market, Piprali Road, Sikar, Rajasthan",Paint Retailer,225
1376,"Mittal Balaji Color World",Ashok Mittal,+919414011376,Jhunjhunu,"Mandawa Road","Plot 136, Main Market, Mandawa Road, Jhunjhunu, Rajasthan",Hardware & Sanitary,232
1377,"Neemrana Industrial Zone Vijay Paint & Plywood Stores",Kamal Verma,+919414011377,Alwar,"Neemrana Industrial Zone","Plot 137, Main Market, Neemrana Industrial Zone, Alwar, Rajasthan",Building Material Stockist,239
1378,"Choudhary Modern Paint & Tools Depot",Pradeep Choudhary,+919414011378,Ajmer,"Parbatpura Industrial Area","Plot 138, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Exclusive Coating Dealer,246
1379,"Gopal National Hardware & Paints",Gopal Sharma,+919414011379,Kota,"DCM Road","Plot 139, Main Market, DCM Road, Kota, Rajasthan",Texture & Putty Specialist,253
1380,"Mansarovar Paint & Hardware Store",Rajesh Sharma,+919414011380,Jaipur,"Mansarovar","Plot 140, Main Market, Mansarovar, Jaipur, Rajasthan",Paint Retailer,260
1381,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414011381,Sikar,"Fatehpur Road","Plot 141, Main Market, Fatehpur Road, Sikar, Rajasthan",Hardware & Sanitary,267
1382,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414011382,Jhunjhunu,"Road No 1","Plot 142, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,274
1383,"Delhi Gate Hardware & Building Materials",Mukesh Gupta,+919414011383,Alwar,"Delhi Gate","Plot 143, Main Market, Delhi Gate, Alwar, Rajasthan",Exclusive Coating Dealer,281
1384,"Yadav Krishna Paint House",Ramesh Yadav,+919414011384,Ajmer,"Parbatpura Industrial Area","Plot 144, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,288
1385,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414011385,Kota,"DCM Road","Plot 145, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,295
1386,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414011386,Jaipur,"Malviya Nagar","Plot 146, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,302
1387,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414011387,Sikar,"Bajoria Road","Plot 147, Main Market, Bajoria Road, Sikar, Rajasthan",Building Material Stockist,309
